,description
3118,"11.32 The Blessed Lord said  I am the world-destroying Time, [Time: The supreme God with His limiting adjunct of the power of action.] grown in stature [Pravrddhah, mighty-according to S.-Tr.] and now engaged in annihilating the creatures. Even without you, all the warriors who are arrayed in the confronting armies will cease to exist!

"
3139,"11.35 Sanjaya said  Hearing this utterance of Kesava, Kiriti (Arjuna), with joined palms and trembling, protrating himself, said again to Krsna with a faltering voice, bowing down overcome by fits of fear:

"
3146,"11.36 Arjuna said  It is proper, O Hrsikesa, that the world becomes delighted and attracted by Your praise; that the Raksasas, stricken with fear, run in all directions; and that all the groups of the Siddhas bow down (toYou).

"
3181,"11.41 Without knowing this greatness of Yours, whatever was said by me (to You) rashly, through inadvertence or even out of intimacy, thinking (You to be) a friend, addressing (You) as 'O krsna,' 'O Yadava,' 'O friend,' etc.-.

"
3223,"11.47 The Blessed Lord said  Out of grace, O Arjuna, this supreme, radiant, Cosmic, infinite, primeval form-which (form) of Mine has not been seen before by anyone other than you, has been shown to you by Me through the power of My own Yoga.

"
3244,"11.50 Sanjaya said  Thus, having spoken to Arjuna in that manner, Vasudeva showed His own form again. And He, the exalted One, reassured this terrified one by again becoming serene in form.

"
3251,"11.51 Arjuna said  O Janardana, having seen this serene human form of Yours, I have now become calm in mind and restored to my own nature.

"
3258,"11.52 The Blessed Lord said  This form of Mine which you have seen is very difficult to see; even the gods are ever desirous of a vision of this form.

"
3286,"

12.1 Arjuna said  Those devotees who, being thus ever dedicated, meditate on You, and those again (who meditate) on the Immutable, the Unmanifested-of them, who are the best experiencers of yoga [(Here) yoga means samadhi, spiritual absorption.] ?

"
3293,"12.2 The Blessed Lord said  Those who meditate on Me by fixing their minds on Me with steadfast devotion (and) being endowed with supreme faith-they are considered to be the most perfect yogis according to Me.

"
3433,"13.2 The Blessed Lord said  O son of Kunti, this body is referred to as the 'field'. Those who are versed in this call him who is conscious of it as the 'knower of the field'.

"
3566,"13.21 With regard to the source of body and organs, Nature is said to be the cause. The soul is the cause so far as enjoyership of happiness and sorrow is concerned.

"
3671,"

14.1 The Blessed Lord said  I shall speak again of the supreme Knowledge, the best of all knowledges, by realizing which all the contemplatives reached the highest Perfection from here.

"
3811,"14.21 Arjuna said  O Lord, by what signs is one (known) who has gone beyond these three alities? What is his behaviour, and how does he transcend these three alities?

"
3818,"14.22 The Blessed Lord said  O son of Pandu, he neither dislikes illumination (knowledge), activity and delusion when they appear, nor does he long for them when they disappear.

"
3839,"14.25 He who is the same under honour and dishonour, who is eally disposed both towards the side of the friend and of the foe, who has renounced all enterprise,-he is said to have gone beyond the alities.

"
3860,"

15.1 The Blessed Lord said  They say that the peepul Tree, which has its roots upward and the branches downward, and of which the Vedas are the leaves, is imperishable. He who realizes it is knower of the Vedas.

"
4000,"

16.1 The Blessed Lord said  Fearlessness, purity of mind, persistence in knowledge and yoga, charity and control of the external organs, sacrifice, (scriptural) study, austerity and recititude;

"
4168,"

17.1 Arjuna said  But, ['But' is used to present a standpoint distinct from the earlier ones understand from 16.23-4.-S.] O Krsna, what is the state [i.e., where do the rites undertaken by them end?] of those who, endued with faith, adore [Adore-perform sacrifices, distribute wealth etc. in honour of gods and others.] by ignoring the injunctions of the scriptures? Is it sattva, rajas or tamas?

"
4175,"17.2 The Blessed Lord said  That faith of the embodied beings, born of their own nature, is threefold-born of sattva, rajas and tamas. Hear about it.

"
4259,"17.14 The worship of gods, twice-borns, venerable persons and the wise; purity, straightforwardness, celibacy and non-injury,-are said to be bodily austerity.

"
4266,"17.15 That speech which causes no pain, which is true, agreeable and beneficial; as well as the practice of study of the scriptures,-is said to be austerity of speech.

"
4294,"17.19 That austerity which is undertaken with a foolish intent, by causing pain to oneself, or for the destruction of others-that is said to be born of tamas.

"
4357,"17.28 O son of Prtha, whatever is offered in sacrifice and given in charity, as also whatever austerity is undertakne or whatever is done without, faith, is said to be of on avail. And it is of no conseence after death, nor here.

"
4364,"

18.1 Arjuna said  O mighty-armed Hrsikesa, O slayer of (the demon) Kesi, I want to know serverally the truth about sannyasa as also about tyaga.

"
4371,"18.2 The Blessed Lord said  The learned ones know sannyasa to be the giving up of actions done with a desire for reward. The adepts call the abandonment of the results of all works as tyaga.

"
4511,"18.22 But that (knowledge) is said to be born of tamas which is confined to one form as though it were all, which is irrational, not concern with truth and triivial.

"
4518,"18.23 The daily obligatory action which is performed without attachment and without likes or dislikes by one who does not hanker for rewards, that is said to be born of sattva.

"
4525,"18.24 But that action is said to be born of rajas which is done by one desirous of results or by one who is egotistic, and which is highly strenuous.

"
4532,"18.25 That action is said to be born of tamas which is undertaken out of delusion, (and) without consideration of its conseence, loss, harm and ability.

"
4539,"18.26 [Ast. introduces this verse with 'Idanim kartrbhedah ucyate, Now is being stated the distinctions among the agents.'-Tr.] The agent who is free from attachment [Attachment to results or the idea of agentship.], not egotistic, endowed with fortitude and diligence, and unperturbed by success and failure is said to be possessed of sattva.

"
4553,"18.28 The agent who is unsteady, naive, unbending, deceitful, wicked, [A variant reading is naikrtikah.-Tr.] lazy, morose and procrastinating is said to be possessed of tamas.

"
4630,"18.39 That joy is said to be born of tams which, both in the beginning and in the seel, is delusive to oneself and arises from sleep, laziness and inadvertence.

"
4868,"18.73 Arjuna said  O Acyuta, (my) delusion has been destroyed and memory has been regained by me through Your grace. I stand with my doubt removed; I shall follow Your instruction.

"
4875,"18.74 Sanjaya said  I thus heard this conversation of Vasudeva and of the great-souled Partha, which is unie and makes one's hair stand on end.

"
