,description
3673,"14.1. The Bhagavat said  Further, once again I shall explain the supreme knowledge, the best among the knowledges, by knowing which all the seers have gone from here to the Supreme Success.									
"
3701,"14.5. The Strands, viz. the Sattva, the Rajas and the Tamas, born from the Prime Cause (the said Mother), bind the changeless Embodied (Soul) to the body, O mighty-armed One !									

"
3813,"14.21. Arjuna said  O Master !  with what characteristic marks does he, who has transcended these three Strands, exist ?  Of what behaviour is he ?  And, how does he pass beyond these three Strands ?								
"
3820,"14.22. The Bhagavat said  O son of Pandu !  He does niether abhor nor crave for illumination, and exertion, and delusion too, as and when they arise or cease to be.		
"
3841,"14.25. Who remains eal to honour and to dishonour, and eal to the sides of [both] the friend and the foe; and who has given up all fruits of his initiatives-he is said to have transcended the Strands.						

"
3862,"15.1. The Bhagavat said  [The scriptures]  speak of a non-perishing holy Fig-tree, which has root that is high (or above)  and branches that are low (or below) and of which the [Vedic] hymns are leaves-he who knows this (Tree) is the knower of the Vedas; 

"
4002,"16.1. The Bhagavat said  Fearlessness, complete purity of the Sattva, steadfastness in knowledge-Yoga, charity, and self-restraint and [Vedic] sacrifice, recitation of scriptures, austerity, uprightness;									
"
4170,"17.1. Arjuna said  Those who remain with faith, but neglecting the scriptural injunction, - what is their state ?  Is it Sattva, Rajas or Tamas ?  O Krsna !		

"
4177,"17.2. The Bhagavat said  The faith of the embodied persons is born of their nature and is of three kinds [viz৷৷]  that which is made of the Sattva ;  that which is made of the Rajas ;  and that which is made of the Tamas.  Listen about them.			
"
4261,"17.14. The worship to the gods, to the twice-born, to the elders and to the wise; the purity, the honesty, the state of continence, and the harmlessness-all this is said to be bodily austerity.								

"
4268,"17.15. The unoffending speech which is true, and which is pleasant and beneficial;  and also the practice of regular recitation of the Vedas - all this is said to be an austerity by the speech-sense.							
"
4366,"18.1. Arjuna said  O  Mighty-armed !  I desire to know severally the distinctive nature of renunciation and of relinishment,  O  Hrsikesa !  O Slayer of  Kesin !

"
4373,"18.2. The Bhagavat said  The seers understand the act of renouncing the desire-motivated actions as renunciation; the experts declare the relinishment of the fruits of all actions to be relinishment.						

"
4436,"18.11. Indeed, to relinish actions entirely is not possible for a body-bearing one; but whosoever relinishes the fruits  of actions, he is said to be a man of [true] relinishment.								

"
4541,"18.26. The agent who is free from attachment; who does not make any speech of egoism; who is full of contentment and enthusiasm; and who does not change [mentally]  in success or in failure-that agent is said  to be of the Sattva (Strand) nature.    
										
"
4555,"18.28. The agent, who does not exert, is vulgar, obstinate and deceitful; who is a man of wickedness and is lazy, sorrowful, and procrastinating - that agent is said to be of the Tamas (Strand).								

"
4870,"18.73. Arjuna said  My delusion is destroyed; recollection is gained by me through your Grace, O Acyuta !  I stand firm, free of doubts;  I shall excute your ?nd.	

"
4877,"18.74. Sanjaya said  Thus I have heard this wonderful and thrilling dailogue of  Vasudeva and the mighty-minded son of  Prtha.							
"
